time,static_pressure,total_pressure
1.0,101325.0,101353.37383721353
1.01,101324.90000000001,101356.18244529146
1.02,101324.7,101359.03296234681
1.03,101324.3,101361.82535062385
1.04,101323.8,101371.75452565307
1.05,101323.1,101378.7170169335
1.06,101322.2,101390.37582082015
1.07,101321.3,101403.31289357685
1.08,101320.1,101417.22828716093
1.09,101318.8,101432.32245408525
1.1,101317.4,101454.77180913127
1.11,101315.7,101472.45100397468
1.12,101314.0,101491.41033989226
1.13,101312.09999999999,101519.04905841404
1.14,101310.0,101540.59654379066
1.15,101307.8,101571.92198905417
1.16,101305.4,101596.16039867252
1.17,101302.9,101631.17645120669
1.18,101300.2,101668.27481998436
1.19,101297.40000000001,101696.81972283091
1.2,101294.4,101737.61572564654
1.21,101291.2,101780.4983776927
1.22,101288.0,101825.6704630948
1.23,101284.5,101872.83234450607
1.24,101280.9,101908.72765743961
1.25,101277.09999999999,101959.60201679554
1.26,101273.2,102012.67283130626
1.27,101269.2,102067.94240201694
1.28,101265.0,102125.31227691291
1.29,101260.6,102168.5906093825
1.3,101256.1,102229.69136794697
1.31,101251.4,102292.89901013515
1.325,101244.1,102391.79286861415
1.333,101240.3,102443.04147165922
1.344,101234.40000000001,102512.55764408504
1.361,101225.09999999999,102620.72687767149
1.387,101210.40000000001,102813.45059508822
1.425,101186.5,103128.02239261237
1.475,101151.9,103569.47792315322
1.525,101113.5,104060.42340316295
1.575,101071.3,104569.1951523084
1.625,101025.40000000001,105157.73862885732
1.675,100975.9,105759.66899895847
1.725,100922.7,106407.48918810017
1.775,100866.0,107058.68371074741
1.825,100806.0,107751.70782532998
1.875,100742.5,108486.84491822941
1.925,100675.7,109213.51342209033
1.975,100605.7,109978.23649264015
2.025,100532.5,110781.48979079117
2.075,100456.2,111623.88308195175
2.125,100376.9,112444.09133415957
2.175,100294.5,113299.09445841424
2.225,100209.2,114189.57281351944
2.275,100121.0,115046.25196527374
2.325,100030.1,115934.32985305435
2.375,99936.40000000001,116854.09260300628
2.425,99840.0,117728.77039829448
2.475,99741.0,118631.10384476869
2.525,99639.4,119561.43102888057
2.575,99535.29999999999,120520.22048162534
2.625,99428.7,121420.70852540534
2.675,99319.7,122435.04429927538
2.725,99208.2,123386.78421122559
2.775,99094.5,124269.34594369486
2.825,98978.5,125269.16134646827
2.875,98860.2,126195.47547412835
2.925,98739.8,127143.13257733917
2.975,98617.2,128112.2325208058
