time,static_pressure,total_pressure,position_z
1.0,101325.0,101353.37383721353,0.0
1.01,101324.90000000001,101356.18244529146,0.007
1.02,101324.7,101359.03296234681,0.026
1.03,101324.3,101361.82535062385,0.059
1.04,101323.8,101371.75452565307,0.104
1.05,101323.1,101378.7170169335,0.163
1.06,101322.2,101390.37582082015,0.235
1.07,101321.3,101403.31289357685,0.319
1.08,101320.1,101417.22828716093,0.417
1.09,101318.8,101432.32245408525,0.528
1.1,101317.4,101454.77180913127,0.652
1.11,101315.7,101472.45100397468,0.789
1.12,101314.0,101491.41033989226,0.939
1.13,101312.09999999999,101519.04905841404,1.102
1.14,101310.0,101540.59654379066,1.278
1.15,101307.8,101571.92198905417,1.468
1.16,101305.4,101596.16039867252,1.67
1.17,101302.9,101631.17645120669,1.885
1.18,101300.2,101668.27481998436,2.114
1.19,101297.40000000001,101696.81972283091,2.356
1.2,101294.4,101737.61572564654,2.61
1.21,101291.2,101780.4983776927,2.878
1.22,101288.0,101825.6704630948,3.159
1.23,101284.5,101872.83234450607,3.453
1.24,101280.9,101908.72765743961,3.76
1.25,101277.09999999999,101959.60201679554,4.08
1.26,101273.2,102012.67283130626,4.413
1.27,101269.2,102067.94240201694,4.76
1.28,101265.0,102125.31227691291,5.119
1.29,101260.6,102168.5906093825,5.492
1.3,101256.1,102229.69136794697,5.877
1.31,101251.4,102292.89901013515,6.276
1.325,101244.1,102391.79286861415,6.899
1.333,101240.3,102443.04147165922,7.225
1.344,101234.40000000001,102512.55764408504,7.729
1.361,101225.09999999999,102620.72687767149,8.517
1.387,101210.40000000001,102813.45059508822,9.769
1.425,101186.5,103128.02239261237,11.81
1.475,101151.9,103569.47792315322,14.757
1.525,101113.5,104060.42340316295,18.031
1.575,101071.3,104569.1951523084,21.628
1.625,101025.40000000001,105157.73862885732,25.543
1.675,100975.9,105759.66899895847,29.77
1.725,100922.7,106407.48918810017,34.301
1.775,100866.0,107058.68371074741,39.132
1.825,100806.0,107751.70782532998,44.256
1.875,100742.5,108486.84491822941,49.667
1.925,100675.7,109213.51342209033,55.359
1.975,100605.7,109978.23649264015,61.328
2.025,100532.5,110781.48979079117,67.568
2.075,100456.2,111623.88308195175,74.074
2.125,100376.9,112444.09133415957,80.842
