time,position_z,velocity_z,velocity_lateral
1.0,0.0,0.0,0.0
1.01,0.007,1.303,0.001
1.02,0.026,2.607,0.003
1.03,0.059,3.91,0.003
1.04,0.104,5.215,0.003
1.05,0.163,6.519,0.003
1.06,0.235,7.824,0.003
1.07,0.319,9.129,0.003
1.08,0.417,10.435,0.003
1.09,0.528,11.74,0.003
1.1,0.652,13.046,0.003
1.11,0.789,14.353,0.003
1.12,0.939,15.659,0.003
1.13,1.102,16.966,0.003
1.14,1.278,18.274,0.003
1.15,1.468,19.581,0.003
1.16,1.67,20.889,0.003
1.17,1.885,22.197,0.003
1.18,2.114,23.505,0.003
1.19,2.356,24.814,0.003
1.2,2.61,26.123,0.003
1.21,2.878,27.432,0.003
1.22,3.159,28.741,0.003
1.23,3.453,30.05,0.003
1.24,3.76,31.36,0.003
1.25,4.08,32.67,0.003
1.26,4.413,33.98,0.003
1.27,4.76,35.291,0.003
1.28,5.119,36.601,0.003
1.29,5.492,37.912,0.003
1.3,5.877,39.223,0.003
1.31,6.276,40.535,0.003
1.325,6.899,42.502,0.016
1.333,7.225,43.498,0.023
1.344,7.729,44.991,0.034
1.361,8.517,47.232,0.05
1.387,9.769,50.594,0.073
1.425,11.81,55.64,0.102
1.475,14.757,62.21,0.127
1.525,18.031,68.735,0.144
1.575,21.628,75.145,0.144
1.625,25.543,81.435,0.126
1.675,29.77,87.603,0.09
1.725,34.301,93.647,0.029
1.775,39.132,99.566,0.06
1.825,44.256,105.36,0.175
1.875,49.667,111.045,0.319
1.925,55.359,116.629,0.491
1.975,61.328,122.109,0.699
2.025,67.568,127.485,0.941
2.075,74.074,132.754,1.216
2.125,80.842,137.916,1.524
2.175,87.864,142.969,1.865
2.225,95.137,147.912,2.236
2.275,102.654,152.743,2.634
2.325,110.409,157.462,3.054
2.375,118.398,162.078,3.491
2.425,126.616,166.608,3.939
2.475,135.057,171.053,4.395
2.525,143.719,175.412,4.855
2.575,152.597,179.685,5.309
2.625,161.687,183.874,5.749
2.675,170.983,187.977,6.174
2.725,180.483,191.994,6.576
2.775,190.181,195.926,6.953
2.825,200.074,199.772,7.296
2.875,210.157,203.532,7.605
2.925,220.426,207.204,7.885
2.975,230.876,210.788,8.14
3.0,236.148,212.541,8.257
3.037,244.137,215.127,8.422
3.087,254.978,218.511,8.625
3.091,255.71,218.735,8.638
3.096,256.81,219.069,8.657
3.103,258.463,219.569,8.686
3.115,260.95,220.315,8.728
3.132,264.695,221.426,8.792
3.157,270.349,223.072,8.885
3.195,278.906,225.497,9.028
3.245,290.259,228.594,9.212
3.295,301.764,231.599,9.394
3.345,313.417,234.511,9.584
3.35,314.561,234.79,9.602
3.357,316.279,235.207,9.63
3.368,318.862,235.828,9.673
3.385,322.749,236.752,9.736
3.409,328.607,238.118,9.832
3.446,337.458,240.125,9.988
