# Simulation 13 (Up to date)
# 5013 data points written for 3 variables.
#
# Time (s),Air pressure (mbar),Mach number (​)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=1 seconds
1,1013.25,0.02
1.01,1013.249,0.021
# Event LIFTOFF occurred at t=1.02 seconds
1.02,1013.247,0.022
1.03,1013.243,0.023
1.04,1013.238,0.026
1.05,1013.231,0.028
1.06,1013.222,0.031
1.07,1013.213,0.034
1.08,1013.201,0.037
1.09,1013.188,0.04
1.1,1013.174,0.044
1.11,1013.157,0.047
1.12,1013.14,0.05
1.13,1013.121,0.054
1.14,1013.1,0.057
1.15,1013.078,0.061
1.16,1013.054,0.064
1.17,1013.029,0.068
1.18,1013.002,0.072
1.19,1012.974,0.075
1.2,1012.944,0.079
1.21,1012.912,0.083
1.22,1012.88,0.087
1.23,1012.845,0.091
1.24,1012.809,0.094
1.25,1012.771,0.098
1.26,1012.732,0.102
1.27,1012.692,0.106
1.28,1012.65,0.11
1.29,1012.606,0.113
1.3,1012.561,0.117
# Event LAUNCHROD occurred at t=1.31 seconds
1.31,1012.514,0.121
1.325,1012.441,0.127
1.333,1012.403,0.13
1.344,1012.344,0.134
1.361,1012.251,0.14
1.387,1012.104,0.15
1.425,1011.865,0.165
1.475,1011.519,0.184
1.525,1011.135,0.203
1.575,1010.713,0.221
1.625,1010.254,0.24
1.675,1009.759,0.258
1.725,1009.227,0.276
1.775,1008.66,0.293
1.825,1008.06,0.31
1.875,1007.425,0.327
1.925,1006.757,0.343
1.975,1006.057,0.359
2.025,1005.325,0.375
2.075,1004.562,0.391
2.125,1003.769,0.406
2.175,1002.945,0.421
2.225,1002.092,0.436
2.275,1001.21,0.45
2.325,1000.301,0.464
2.375,999.364,0.478
2.425,998.4,0.491
2.475,997.41,0.504
2.525,996.394,0.517
2.575,995.353,0.53
2.625,994.287,0.542
2.675,993.197,0.555
2.725,992.082,0.567
2.775,990.945,0.578
2.825,989.785,0.59
2.875,988.602,0.601
2.925,987.398,0.612
2.975,986.172,0.623
3,985.554,0.628
3.037,984.617,0.635
3.087,983.345,0.646
3.091,983.259,0.646
