# Simulation 13 (Up to date)
# 5013 data points written for 4 variables.
#
# Time (s),Altitude (m),Air pressure (mbar),Mach number (​)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=1 seconds
1,0,1013.25,0.02
1.01,0.007,1013.249,0.021
# Event LIFTOFF occurred at t=1.02 seconds
1.02,0.026,1013.247,0.022
1.03,0.059,1013.243,0.023
1.04,0.104,1013.238,0.026
1.05,0.163,1013.231,0.028
1.06,0.235,1013.222,0.031
1.07,0.319,1013.213,0.034
1.08,0.417,1013.201,0.037
1.09,0.528,1013.188,0.04
1.1,0.652,1013.174,0.044
1.11,0.789,1013.157,0.047
1.12,0.939,1013.14,0.05
1.13,1.102,1013.121,0.054
1.14,1.278,1013.1,0.057
1.15,1.468,1013.078,0.061
1.16,1.67,1013.054,0.064
1.17,1.885,1013.029,0.068
1.18,2.114,1013.002,0.072
1.19,2.356,1012.974,0.075
1.2,2.61,1012.944,0.079
1.21,2.878,1012.912,0.083
1.22,3.159,1012.88,0.087
1.23,3.453,1012.845,0.091
1.24,3.76,1012.809,0.094
1.25,4.08,1012.771,0.098
1.26,4.413,1012.732,0.102
1.27,4.76,1012.692,0.106
1.28,5.119,1012.65,0.11
1.29,5.492,1012.606,0.113
1.3,5.877,1012.561,0.117
# Event LAUNCHROD occurred at t=1.31 seconds
1.31,6.276,1012.514,0.121
1.325,6.899,1012.441,0.127
1.333,7.225,1012.403,0.13
1.344,7.729,1012.344,0.134
1.361,8.517,1012.251,0.14
1.387,9.769,1012.104,0.15
1.425,11.81,1011.865,0.165
1.475,14.757,1011.519,0.184
1.525,18.031,1011.135,0.203
1.575,21.628,1010.713,0.221
1.625,25.543,1010.254,0.24
1.675,29.77,1009.759,0.258
1.725,34.301,1009.227,0.276
1.775,39.132,1008.66,0.293
1.825,44.256,1008.06,0.31
1.875,49.667,1007.425,0.327
1.925,55.359,1006.757,0.343
1.975,61.328,1006.057,0.359
2.025,67.568,1005.325,0.375
2.075,74.074,1004.562,0.391
2.125,80.842,1003.769,0.406
2.175,87.864,1002.945,0.421
2.225,95.137,1002.092,0.436
2.275,102.654,1001.21,0.45
